Time_Bin,Average_EDA
0,0.0017454708333333332
1,1.60125e-05
2,5.3375e-06
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,5.3375e-06
20,5.3375e-05
21,3.2025e-05
22,1.0675e-05
23,5.3375e-06
24,2.135e-05
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,5.3375e-06
43,1.60125e-05
44,0.0
45,2.66875e-05
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,5.3375e-06
52,0.0
53,0.0
54,5.3375e-06
55,0.025115116666666666
56,0.230562425
57,0.8432634833333333
58,0.8040124541666667
59,0.8993369875
60,1.3152823041666666
61,1.4362274625
62,1.59788695
63,1.7051213541666668
64,1.5084887249999999
65,1.1422259250000002
66,1.0735054916666666
67,1.4279094416666667
68,1.4592191541666668
69,1.6884999416666666
70,1.4109310625
71,1.45240135
72,1.1958878333333334
73,1.0300838041666667
74,1.6527395666666667
75,1.6999507125000002
76,1.1847689458333333
77,1.1090826500000002
78,0.9411982125
79,0.8918265291666666
80,0.7468273875
81,0.9719059208333333
82,1.1520872625
83,1.0345997500000002
84,0.9997324916666667
85,1.2387333583333333
86,1.8012258083333335
87,2.184007320833333
88,1.7773098458333334
89,1.6674967708333335
90,1.5332027791666667
91,1.2134869458333335
92,0.8921558333333334
93,1.0619247166666665
94,1.5301788
95,1.7824250416666667
96,1.7615071333333332
97,1.6340179708333333
98,1.089301825
99,1.127378
100,1.1188854041666665
101,0.9962094583333333
102,1.0332756208333334
103,1.5414910208333334
104,1.2679122999999999
105,1.3141386875
106,1.1300267833333335
107,1.1589339791666666
108,1.0624685541666667
109,0.84577635
110,0.7711042458333334
111,1.3836094666666667
112,1.2183013958333333
113,1.2494418208333333
114,0.9798065333333333
115,0.9466949708333333
116,0.9221458791666667
117,0.7889862416666666
118,0.7620991583333333
119,0.9328483708333334
120,1.1394897708333334
121,1.165213175
122,1.0590794000000001
123,0.806030225
124,0.6487768041666667
125,0.8378711791666666
126,0.9192156874999999
127,1.1028716541666665
128,0.909863375
129,0.8479595541666666
130,0.7001099541666667
131,0.555212275
132,0.5619444166666666
133,0.577749225
134,0.56039035
135,0.6506438208333333
136,0.9394655749999999
137,0.8775422583333333
138,0.8160387916666667
139,0.5646710625
140,0.5101415416666667
141,0.45586326666666666
142,0.3856055916666667
143,0.3879916666666666
144,0.37377150416666666
145,0.4040694458333334
146,0.4734303458333333
147,0.43419132083333334
148,0.46021366666666663
149,0.49542792500000005
150,0.42679297083333334
151,0.5260034708333333
152,0.6065419541666667
153,0.5633795666666667
154,0.6441796125
155,0.5318324583333334
156,0.5523407708333333
157,0.5617461625
158,0.5554741166666666
159,0.7888755125000001
160,1.202541375
161,1.6838337625000002
162,1.7243101333333333
163,0.7674037375
164,0.0
165,0.0029999041666666664
166,0.0029572041666666667
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,5.3375e-06
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
