0-Before Exam,1-One Third (During),2-Two Third (During),3-Three Third (During),4-After Exam
0.059284373054213635,0.1754489054861111,0.19316653472222223,0.19413957736111112,0.025307459072909388
0.023136471153846153,0.02381458097222222,0.19149595402777778,1.3531501069444445,0.14689164209054834
0.031061202556237223,0.20061333027777778,0.19054016902777776,0.20380567944444442,0.04602109974171985
0.14146511139547413,0.13913628395833333,0.12012143118055556,0.16554188131944442,0.015134770848941288
0.012678514705882354,0.01149181125,0.06899100402777777,0.44761933777777774,0.16085411768191515
0.04225530468443748,0.15455513375,0.22140084291666667,0.3088339554166667,0.06799237084948592
0.3369537467845659,0.24402811298611113,0.24655707770833332,0.547281730625,0.0012028669517293806
0.0017906940104166667,0.0008593505555555556,0.39061053333333334,0.503871115,0.1930090918667875
0.60731361176132,0.5894515438888889,0.4931258186111111,0.7390978115277779,0.4459297444171505
1.1407446718245426,0.7092032059722222,0.379638354375,0.6183634485416667,0.033937916909620995
0.00032611199095022625,0.0,1.3903169119444445,0.5403237883333333,0.08226217273176355
1.240185710985002,0.8999294826388888,0.7067365513888889,0.27473815805555557,0.03732512904977375
0.5144656984190783,0.5951135748611112,0.7117877586111111,0.7222299215277778,0.0001757035423925668
0.00019515053763440862,1.7791666666666667e-07,0.28650128597222224,0.21944774291666666,0.135524294820087
0.2648932186250999,0.62270601375,0.6514408044444445,0.6275032773611111,0.10394464078259813
0.1259575894495413,0.3295075152083333,0.2148369592361111,0.23006512659722222,0.007251660284002663
0.0006347859281437126,4.27e-06,0.22581437138888888,1.3327798415277778,0.6805494687136335
0.044893301751592354,0.36069804125,0.6447494793055556,0.39930284875000005,0.04338765821121376
0.0981163598444206,0.6795978716666666,0.1292856588888889,0.2972395815972222,0.0004814538979168158
0.0004828963730569948,0.0,0.09195550722222222,0.3957025477777778,0.14781308802091003
0.04528871611474779,0.18835122291666667,0.4565242818055556,0.5859727895833333,0.18261112355760695
0.19747819223535734,0.7505007144444444,1.056124222638889,0.7406003852777778,0.004351230398242766
0.0014098590909090909,0.0005786077777777777,0.12167333319444444,0.3964578073611111,0.6976890983431838
0.008634809633027523,0.06810809222222222,0.12771343638888888,0.25412951361111114,0.12861690567977382
0.03411656597409606,0.36335177625,0.5679511059722222,0.6291260032638888,0.012394754586417766
0.0144187,0.013693823194444446,0.13714385958333333,0.22405052972222222,0.2032527489710474
0.0966512851669941,0.604274305,0.9998240529166667,0.32083825069444444,0.05043072754624471
0.09179599102357984,0.15545324180555556,0.2164203063888889,0.2329617559722222,0.020620520274815028
0.018676134545454547,0.01924654763888889,0.09546239513888889,0.32734555708333335,0.258632946103302
0.07283061444444446,0.2647510418055556,0.32518043458333334,0.3771415120833333,0.053841345841884096
