0-Before Exam,1-One Third (During),2-Two Third (During),3-Three Third (During),4-After Exam
9.96897526986388,9.924573652363112,9.931742824094348,9.968196748056835,9.657924187687824
9.689173748582377,9.884318027305683,10.028549548415272,9.954050215990524,9.91241454868442
9.820555492459462,9.923845458135782,9.917445681570287,9.924281708157821,9.94289729274083
9.901919893935917,9.820482786518237,9.764695625305281,9.799433901437503,9.876521965722954
9.714896483568483,9.773319093815852,9.79937876268102,9.462331457017608,9.57723830679143
9.728223838618696,9.49399568722238,9.461236172383684,9.461184067217934,9.76027952700789
9.954443845555636,10.021742008971584,9.995035465131913,10.070020339057622,9.756929530856494
9.701667412606627,9.75024797922402,9.987636568637287,10.052951633111194,9.855779543691893
10.130541147316542,10.056064177288704,9.961676213144564,10.014707701619196,9.9753872303294
9.892087004986807,9.924485363859416,9.936486123149725,9.989689224021692,9.745591312552156
9.705035366244514,9.76486095836526,9.999288124432896,9.966729974090832,9.856873777701258
10.002814162531406,9.95316014259969,9.942153791097079,9.91791776901729,9.649264286983875
9.878153604940783,10.020787444180785,9.995776755060655,10.003511691044702,9.664769952608525
9.635490643782306,9.631612391303452,9.81377219298517,10.043180062557328,9.921378035663755
9.983177837415196,10.025014059983173,10.02491449752891,10.004788801361004,9.650290160652252
9.694185107346405,9.928216537825422,9.940328345487773,9.989515645956256,9.770190255090451
9.382299704664163,9.521422585391752,9.54754705075065,9.640508172902713,9.707027909659217
9.708432607861976,9.948640457326393,9.935167857720035,9.934627751445696,9.900620849016962
9.700419833884526,9.697307271377257,9.684845786663601,9.72107440748254,9.65093527086553
9.589882348972447,9.77496839320814,9.80179715196029,9.687116735181661,9.69060354651009
9.683050296217838,9.80650467560391,9.79396201188771,9.813361717890153,9.818746284206044
10.078016413754398,10.031234187119125,10.032902097849126,9.960456704954625,9.94380850858998
9.662010781287318,9.826765811488409,9.898461543380234,9.958780556811236,9.946189499666506
9.86570130240372,9.977891642128656,9.956216357304331,10.015851855864058,9.999127458825997
9.933465220059592,10.110759316074109,10.09542089257017,10.092195649451911,9.746912848410984
9.732077632063397,9.71160175679406,10.025856535068318,10.089372860123484,10.025525783918308
9.933654568642629,10.083477994739969,10.07587572647391,10.098427299674723,10.017029313296126
9.88794742767871,9.864563684728695,9.865126803002777,9.880846492761922,9.743140411405966
9.831823494874184,9.885919366498413,9.86172186567972,9.870562897391796,9.87340558431677
9.886235876684701,9.882552559268419,9.88185174275979,9.879810323268622,9.958040531346583
