0-Before Exam,1-One Third (During),2-Two Third (During),3-Three Third (During),4-After Exam
24.436317767042404,30.733272222222222,29.738755555555556,29.25321111111111,22.740590701574583
22.62059829059829,23.151044444444445,24.1069,28.129944444444444,27.834274891774893
21.540650306748464,29.410988888888888,32.160333333333334,32.52801111111111,24.32852324521422
25.243636853448276,33.62625833333333,35.74541388888889,35.47991388888889,22.847258675078862
22.73470588235294,23.260833333333334,23.355888888888888,28.90381111111111,31.939375888765998
23.205558604468834,31.730494444444446,34.73777222222222,34.82708888888889,24.51784931737738
24.724860664523042,31.319444444444443,32.55685277777778,31.49213611111111,22.427447552447553
22.184895833333332,22.798844444444445,23.985366666666668,28.172044444444445,28.285123867069483
24.25770529547199,28.992877777777778,31.981627777777778,32.53927777777778,25.04888739946381
25.6139020452099,31.256966666666667,31.94251111111111,30.338586111111113,20.64360923076923
21.86158371040724,22.39587777777778,24.462366666666668,26.71688888888889,26.31655030462704
23.504949331171463,29.24811111111111,30.813288888888888,30.614655555555554,23.492454298642535
26.34372990353698,32.91888333333333,33.288666666666664,32.81403611111111,21.139600155279503
22.31867383512545,22.877133333333333,24.965144444444444,28.999766666666666,28.023792121499763
26.170343725019983,32.42369444444444,32.49042222222222,33.06382222222222,23.637795333009237
23.600161899622233,31.979861111111113,32.682766666666666,31.87773888888889,22.692905603409997
22.475988023952095,23.03942222222222,23.51198888888889,29.035533333333333,30.84418084153984
21.83731687898089,31.9297,33.94107777777778,33.77505,23.55237655304237
23.76806330472103,27.997222222222224,29.153255555555557,28.609677777777776,22.49694873997709
22.399533678756477,22.99401111111111,23.66397777777778,26.740177777777777,26.47183532184416
21.26366191759723,26.563522222222225,27.287411111111112,28.19212222222222,23.48846645367412
27.035642127888234,32.95196111111111,33.746775,32.07117222222222,22.543617956064946
22.683090909090907,23.271977777777778,23.729766666666666,27.987466666666666,29.425732558139536
22.342136850152905,31.218500000000002,33.221494444444446,33.37597777777778,25.43087962962963
23.362806260118727,33.345705555555554,34.29906944444444,33.37607777777778,19.767108821635542
22.278595744680853,22.84862222222222,24.564555555555554,28.050144444444445,27.437517388218595
24.186695481335953,32.60808888888889,33.262705555555556,33.173788888888886,23.726285395763657
23.749255091103965,30.50017777777778,31.155002777777778,30.252958333333332,22.326953680568902
22.3532,22.786644444444445,23.5151,27.30112222222222,27.528256529695557
21.91968888888889,30.217844444444445,30.488655555555557,31.36867777777778,23.178717998827437
