ACC(g),EDA(μS),HR(bpm),TEMP(°C),Predicted Grade(%),Label Category
0.35578618622365893,-0.9211013848338477,-0.28228048388663796,0.11921279843911388,0.25211163946628884,Medium
0.45652919012835397,0.6998611230106422,0.817617324182914,-1.2393263723730088,-0.30733592698895484,Low
0.21575809520637604,-0.8691958007294512,0.20680161317075935,0.5336812071484953,1.205052989934342,High
-0.6893120696785553,-1.1434532937375885,0.49465032372105766,1.5525135975891673,2.3244956074607313,High
-1.5198367946382918,-0.976953706631627,1.9676840190012015,-1.226757614996759,0.9331845426988805,High
-2.9895127033925513,-0.7244096131258457,-0.263392499673486,1.2155420854086596,-0.06253045434388972,Low
0.9789109834964773,-0.15533199432459635,-0.7768957526347791,0.6539350937926564,0.15716155116077532,Medium
0.2757776693756428,-0.38505048356885874,0.5800815989631942,-1.280225896396734,-0.3236366959514805,Low
0.8497891806395512,1.107983791314845,-0.569546699034724,0.47819727103275217,-0.2768754190986688,Low
0.417906295220033,0.9234846282797188,-1.0241994244550938,0.48049798112292313,-0.9513380195451405,Very Low
0.13333403217090173,1.2836107624860174,1.158759237874783,-1.4110944766132985,-0.4031331923663229,Low
0.32898401679019607,1.2042530141886754,-1.2883335716237347,0.20930766854604874,-1.6944721979918076,Very Low
0.8203958191872832,1.44235452677663,-0.3917350243173706,1.0000904952840215,0.34033356204117404,Medium
-0.44234644685894614,-1.0126590804897675,1.1278130767851136,-1.1015375004631887,0.47220980909826377,Medium
0.9026955768735277,1.2368846806231815,0.7507036287242117,0.901199442760498,1.7708569422223526,High
0.4354864750681347,-0.5799636442200122,-1.485329164132408,0.7649819287317307,-0.681267157491383,Very Low
-2.293268494422583,0.6839656267113522,1.1497408429109615,-1.2204648136198237,-1.0029382271490679,Very Low
0.3413483274074128,0.43599841043850873,-1.2514996846286284,1.0592406699132058,-0.500576915898216,Low
-1.3578144666617296,-0.045318961099421594,-0.8365974744612178,-0.25649966054860995,-1.8452268837635462,Very Low
-0.9761374514918222,-1.0421401439177693,1.4921078775880678,-1.4278629971972785,0.38498673766911595,Medium
-0.6199016953451868,0.15570889352689604,-0.8671222840014411,-0.6087143970114673,-2.009792013576385,Very Low
0.831127356293297,2.27740112329032,-0.8176335727499038,0.9762427047555051,-0.5139764500098014,Low
0.021979518331363804,-0.9920920687370246,1.4543815983279171,-1.2771031845205438,0.8844532599397263,High
0.653817064737519,-1.10291503918951,-0.2790923892476245,0.8858522509131508,1.2236081345011043,High
1.4815692869741135,0.6869158080242742,-1.0663226288407197,1.1895315063192307,0.24096074093504236,Medium
0.36129302173110805,-1.2238987840980182,1.045670972751622,-1.2321786680818922,0.6457254968394872,High
1.385125764173927,1.2744170993415753,-0.6719463842345229,1.002269602804502,0.28783938712935203,Medium
-0.15256965871796768,-0.8532777938741791,-0.971059817444849,0.3260540317190274,-0.6296290740105742,Very Low
-0.13435436540384185,-1.1156424206406395,1.3664230943566082,-1.408466597704677,0.6221566803181862,High
-0.0725597134175668,-0.2694352747944876,-0.7694483529912333,0.3418818432465754,-0.5424084532296221,Very Low
